huff_rank,selected_for_next_step,selection_method,ykiho,hospital_name,hospital_type,disease,specialist_score,hospital_weight,capability_score,straight_distance_km,huff_utility,huff_probability,cumulative_probability,kneedle_score,tmap_success,tmap_error,route_distance_km,route_duration_min,taxi_fare,toll_fare,final_utility,final_probability,is_pareto,matched_reason
97,False,,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,창원한마음병원,종합병원,암,16.0,1.0,16.0,306.4047790700417,0.00017031209125742617,1.5935856749482857e-05,0.9998510330943395,0.15029351097044574,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
98,False,,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,영주적십자병원,종합병원,암,3.0,1.0,3.0,140.56188131771674,0.0001516241612016632,1.4187254086487795e-05,0.9998652203484261,0.14145814070240836,,,,,,,,,,방사선종양학과 전문의 1명 이상
99,False,,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNjEjJDEjJDAjJDgz,동남권원자력의학원원자력병원,종합병원,암,14.0,1.0,14.0,315.0810227884954,0.00014093144817766274,1.3186752350200347e-05,0.9998784071007762,0.13262176993263464,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
100,False,,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,광주기독병원,종합병원,암,13.0,1.0,13.0,313.81842558093336,0.0001319197249666292,1.2343538406335639e-05,0.9998907506391825,0.12378455594891702,,,,,,,,,,외과·병리과·핵의학과 전문의 각각 1명 이상
101,False,,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,의료법인 은성의료재단 좋은강안병원,종합병원,암,14.0,1.0,14.0,327.8002082131043,0.00013021009351149162,1.2183570656762872e-05,0.9999029342098393,0.11494718199744991,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
102,False,,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,창원경상국립대학교병원,종합병원,암,12.0,1.0,12.0,310.7787056482502,0.00012416502946276694,1.1617942732105909e-05,0.9999145521525714,0.10610924241805819,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
103,False,,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDgjJDgz,성가롤로병원,종합병원,암,11.0,1.0,11.0,324.7347711998641,0.00010424798346952392,9.754333463510641e-06,0.9999243064860349,0.09726943922939779,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
104,False,,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,경상북도안동의료원,종합병원,암,3.0,1.0,3.0,170.85997874135037,0.00010264371081105818,9.604223984590674e-06,0.9999339107100195,0.08842948593125843,,,,,,,,,,방사선종양학과 전문의 1명 이상
105,False,,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjODEjJDEjJDIjJDgz,창원파티마병원,종합병원,암,9.0,1.0,9.0,305.16928698083086,9.657757243819912e-05,9.036624165818512e-06,0.9999429473341853,0.07958896503330037,,,,,,,,,,외과·병리과·핵의학과 전문의 각각 1명 이상
106,False,,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEwMDIjNjEjJDEjJDgjJDgz,의료법인 온그룹의료재단 온병원,종합병원,암,10.0,1.0,10.0,325.04890425556977,9.458786229452477e-05,8.850449857297685e-06,0.9999517977840426,0.07074825796103379,,,,,,,,,,방사선종양학과 전문의 1명 이상
107,False,,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNTEjJDEjJDYjJDgz,동국대학교의과대학경주병원,종합병원,암,6.0,1.0,6.0,260.04344873781736,8.865953793228714e-05,8.295745096739654e-06,0.9999600935291394,0.061906996184006635,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
108,False,,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEyMjIjNjEjJDEjJDAjJDgz,드림종합병원,종합병원,암,5.0,1.0,5.0,239.14262095981366,8.735603250058237e-05,8.173777973451722e-06,0.9999682673071129,0.05306561243985619,,,,,,,,,,방사선종양학과 전문의 1명 이상
109,False,,JDQ4MTYyMiM4MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjNTEjJDEjJDYjJDgz,제주대학교병원,종합병원,암,21.0,1.0,21.0,502.3391396003471,8.318640732125942e-05,7.783632158987536e-06,0.9999760509392719,0.044223838549891314,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
110,False,,JDQ4MTYyMiM4MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz,제주한라병원,종합병원,암,19.0,1.0,19.0,501.05389019060755,7.565042795023834e-05,7.078501437868441e-06,0.9999831294407098,0.0353813595292054,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
111,False,,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,여천전남병원,종합병원,암,7.0,1.0,7.0,346.13553043063814,5.839219142993463e-05,5.463673137037149e-06,0.9999885931138468,0.026537265680218525,,,,,,,,,,외과·병리과·핵의학과 전문의 각각 1명 이상
112,False,,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNzEjJDEjJDgjJDgz,광주보훈병원,종합병원,암,5.0,1.0,5.0,307.4857021536724,5.28491147101988e-05,4.9450154427716995e-06,0.9999935381292896,0.01769265317353741,,,,,,,,,,외과·병리과·핵의학과 전문의 각각 1명 이상
113,False,,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz,의료법인정화의료재단 봉생기념병원,종합병원,암,5.0,1.0,5.0,327.786356047138,4.650753417024251e-05,4.351642897675638e-06,0.9999978897721873,0.008847447294311195,,,,,,,,,,외과·병리과·핵의학과 전문의 각각 1명 이상
114,False,,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,의료법인영성의료재단 고흥종합병원,종합병원,암,3.0,1.0,3.0,364.62112914239185,2.2552744886555693e-05,2.1102278127543847e-06,1.0,0.0,,,,,,,,,,방사선종양학과 전문의 1명 이상
