recommendation_type,hospital_name,hospital_type,capability_score,straight_distance_km,route_distance_km,route_duration_min,taxi_fare,toll_fare,final_utility,final_probability,is_pareto,selection_fallback,matched_reason,transport_cost
접근성추천,대구파티마병원,종합병원,50.0,2.5183399132362867,4.534,9.133333333333333,8410,0,0.5864796882534635,0.21643383399096344,True,False,내과·응급의학과 전문의 각각 1명 이상; 특수진료 응급의료기관 포함; 심장혈관흉부외과 전문의 1명 이상,8410
원거리 전문역량 대안,계명대학교동산병원,상급종합,166.0,11.100304972377712,18.979,20.266666666666666,22330,0,0.40019179205027305,0.1476863489392012,True,False,내과·응급의학과 전문의 각각 1명 이상; 특수진료 응급의료기관 포함; 심장혈관흉부외과 전문의 1명 이상; 특수진료 경피적 좌심방이 폐색술·경피적 대동맥판삽입·심실 보조장치·심장질환자 재택의료 포함,22330
종합추천,영남대학교병원,상급종합,132.0,3.1223798139035357,5.677,12.116666666666667,9610,0,0.8844402174621108,0.32639286753678226,True,False,내과·응급의학과 전문의 각각 1명 이상; 특수진료 응급의료기관 포함; 심장혈관흉부외과 전문의 1명 이상; 특수진료 경피적 좌심방이 폐색술·경피적 대동맥판삽입·심장질환자 재택의료 포함,9610
